date; pm10; o3; no2
01/12/2021;8;20;6
02/12/2021;9;26;6
03/12/2021;6;24;13
04/12/2021;6;26;3
05/12/2021;3;28;1
06/12/2021;6;21;12
07/12/2021;5;30;3
08/12/2021;3;29;4
09/12/2021;5;30;3
10/12/2021;5;25;15
11/12/2021;8;20;10
12/12/2021;13;19;21
13/12/2021;17;7;24
14/12/2021;29;8;26
15/12/2021; ; ; 
09/11/2021;10;26;9
11/11/2021;7;29;5
12/11/2021;9;22;13
13/11/2021;10;20;10
14/11/2021;11;22;4
15/11/2021;10;12;13
16/11/2021;12;19;10
17/11/2021;11;18;11
18/11/2021;16;15;10
20/11/2021;23;11;20
23/11/2021;9;17;11
25/11/2021;5;23;12
26/11/2021;6;22;7
27/11/2021;5;23;2
28/11/2021;3;25;1
29/11/2021;3;22;12
30/11/2021;8;15;19
01/11/2021;8;26;5
02/11/2021;11;23;5
03/11/2021;10;23;4
04/11/2021;13;16;9
05/11/2021;16;14;12
06/11/2021;13;24;7
07/11/2021;10;24;7
08/11/2021;10;21;17
10/11/2021;10;26;7
04/10/2021;10;17;8
05/10/2021;9;25;9
06/10/2021;12;30;10
07/10/2021;13;28;10
30/10/2021;24;25;6
31/10/2021;19;21;5
01/09/2021;13;33;6
02/09/2021;16;44;8
03/09/2021;17;38;6
04/09/2021;16;33;3
05/09/2021;17;30;5
06/09/2021;19;31;6
07/09/2021;16;37;8
08/09/2021;16;38;4
09/09/2021;21;37;8
10/09/2021;22;38;6
11/09/2021;16;32;7
12/09/2021;14;31;6
13/09/2021;16;31;6
14/09/2021;18;32;6
15/09/2021;22;32;6
16/09/2021;28;33;8
17/09/2021;25;28;6
18/09/2021;16;28;4
19/09/2021;12;24;6
20/09/2021;11;20;10
21/09/2021;11;33;7
22/09/2021;12;36;10
23/09/2021;11;36;6
24/09/2021;13;30;6
25/09/2021;19;38;4
26/09/2021;29;37;7
27/09/2021;21;29;7
01/08/2021;11;28;5
02/08/2021;10;31;5
03/08/2021;12;31;6
04/08/2021;15;34;5
05/08/2021;14;25;4
06/08/2021;17;33;3
07/08/2021;18;27;3
08/08/2021;15;26;9
09/08/2021;13;29;13
10/08/2021;17;33;16
11/08/2021;21;38;16
12/08/2021;26;34;12
13/08/2021;29;35;10
14/08/2021;36;32;5
15/08/2021;52;34;3
16/08/2021;37;32;2
17/08/2021;22;36;4
18/08/2021;18;26;7
19/08/2021;20;30;7
20/08/2021;18;30;4
21/08/2021;19;33;7
22/08/2021;17;31;6
23/08/2021;17;30;6
24/08/2021;15;34;7
25/08/2021;13;37;6
26/08/2021;14;38;6
27/08/2021;19;34;4
28/08/2021;18;35;3
29/08/2021;15;27;8
30/08/2021;14;31;8
31/08/2021;13;33;7
01/07/2021;18;35;10
02/07/2021;19;35;6
03/07/2021;20;37;7
04/07/2021;22;35;7
05/07/2021;14;34;5
06/07/2021;19;29;7
07/07/2021;18;35;7
08/07/2021;18;29;5
09/07/2021;17;34;6
10/07/2021;18;32;6
11/07/2021;20;27;8
12/07/2021;16;26;5
13/07/2021;18;26;5
14/07/2021;20;28;4
15/07/2021;16;33;5
16/07/2021;15;32;4
17/07/2021;17;37;4
18/07/2021;14;38;11
19/07/2021;19;36;12
20/07/2021;26;36;11
21/07/2021;22;36;13
22/07/2021;20;37;13
23/07/2021;23;31;7
24/07/2021;21;35;5
25/07/2021;23;35;6
26/07/2021;18;35;4
27/07/2021;15;39;3
28/07/2021;17;37;5
29/07/2021;15;33;4
30/07/2021;17;30;2
31/07/2021;18;29;3
01/06/2021;25;32;6
02/06/2021;26;33;5
03/06/2021;28;25;5
04/06/2021;21;32;5
05/06/2021;17;35;4
06/06/2021;14;38;9
07/06/2021;14;32;12
08/06/2021;18;36;13
09/06/2021;21;43;14
10/06/2021;19;44;14
11/06/2021;19;48;9
12/06/2021;18;47;7
13/06/2021;18;47;13
14/06/2021;20;41;14
15/06/2021;22;37;13
16/06/2021;21;32;7
17/06/2021;22;33;9
18/06/2021;30;28;8
19/06/2021;30;37;6
20/06/2021;32;30;5
21/06/2021;25;29;6
22/06/2021;14;34;6
23/06/2021;17;41;5
24/06/2021;21;39;4
25/06/2021;13;39;5
26/06/2021;12;41;4
27/06/2021;12;37;8
28/06/2021;12;33;6
29/06/2021;15;33;4
30/06/2021;16;34;7
01/05/2021;11;37;3
02/05/2021;10;37;10
03/05/2021;10;39;9
04/05/2021;14;37;10
05/05/2021;17;32;7
06/05/2021;18;29;9
12/05/2021;14;33;5
13/05/2021;14;31;5
14/05/2021;12;35;9
15/05/2021;16;32;8
16/05/2021;17;29;5
17/05/2021;17;28;7
18/05/2021;21;31;5
19/05/2021;20;34;6
20/05/2021;18;33;7
21/05/2021;18;31;5
22/05/2021;18;30;8
23/05/2021;15;34;4
24/05/2021;15;32;5
25/05/2021;18;34;9
26/05/2021;21;34;11
27/05/2021;21;40;16
28/05/2021;22;39;13
29/05/2021;20;41;8
30/05/2021;18;33;12
31/05/2021;17;29;12
01/04/2021;25;42;7
02/04/2021;18;43;9
03/04/2021;18;35;5
04/04/2021;21;36;5
05/04/2021;20;33;6
06/04/2021;24;31;9
07/04/2021;23;37;6
08/04/2021;21;35;9
09/04/2021;17;31;8
10/04/2021;19;31;6
11/04/2021;15;35;6
12/04/2021;11;32;8
13/04/2021;12;35;7
14/04/2021;12;39;9
15/04/2021;13;34;8
16/04/2021;13;37;4
17/04/2021;10;39;3
18/04/2021;10;37;9
19/04/2021;14;39;10
20/04/2021;17;39;8
21/04/2021;13;37;8
22/04/2021;10;43;11
23/04/2021;14;40;9
24/04/2021;12;44;6
25/04/2021;11;41;9
26/04/2021;12;38;10
27/04/2021;16;33;12
28/04/2021;17;29;8
29/04/2021;16;27;10
30/04/2021;16;33;3
01/03/2021;30;30;9
02/03/2021;37;28;10
03/03/2021;34;31;13
04/03/2021;30;27;14
05/03/2021;30;14;11
06/03/2021;33;31;6
07/03/2021;22;25;13
08/03/2021;22;22;8
09/03/2021;16;29;7
10/03/2021;14;28;16
11/03/2021;20;26;12
12/03/2021;21;33;7
13/03/2021;13;32;4
14/03/2021;16;31;7
15/03/2021;14;31;10
16/03/2021;16;30;9
17/03/2021;16;30;7
18/03/2021;18;21;11
19/03/2021;9;33;5
20/03/2021;7;34;5
21/03/2021;10;26;8
22/03/2021;12;30;9
23/03/2021;16;33;17
24/03/2021;19;38;18
25/03/2021;23;40;5
26/03/2021;19;30;6
27/03/2021;19;33;9
28/03/2021;17;31;15
29/03/2021;16;15;17
30/03/2021;19; ; 
01/02/2021;10;25;9
02/02/2021;13;18;12
03/02/2021;13;15;18
04/02/2021;20;23;12
05/02/2021;19;25;9
06/02/2021;48;22;4
07/02/2021;53;20;14
08/02/2021;9;24;11
09/02/2021;10;27;5
10/02/2021;10;22;13
11/02/2021;8;9;28
12/02/2021;20;26;6
13/02/2021;20;29;5
14/02/2021;14;28;12
15/02/2021;18;25;14
16/02/2021;17;27;16
17/02/2021;18;32;13
18/02/2021;19;26;15
19/02/2021;22;36;8
20/02/2021;29;34;3
21/02/2021;25;28;16
22/02/2021;55;21;10
23/02/2021;48;24;11
24/02/2021;34;26;12
25/02/2021;21;19;16
27/02/2021;28;31;4
28/02/2021;29;30;7
04/01/2021;7;19;8
05/01/2021;8;20;9
06/01/2021;10;18;12
07/01/2021;11;21;11
08/01/2021;14;26;4
09/01/2021;10;24;5
10/01/2021;5;18;5
11/01/2021;9;25;5
12/01/2021;9;26;4
13/01/2021;8;21;4
14/01/2021;7;19;12
15/01/2021;8;27;6
16/01/2021;9;24;9
17/01/2021;8;22;19
18/01/2021;13;29;15
19/01/2021;15;24;16
20/01/2021;15;22;12
21/01/2021;13;29;5
22/01/2021;12;27;2
27/01/2021;14;12;19
28/01/2021;16;17;10
29/01/2021;13;29;6
30/01/2021;9;29; 
31/01/2021;6;30;2
01/10/2020;17;24;10
02/10/2020;15;29;3
03/10/2020;6;29;2
04/10/2020;8;24;6
05/10/2020;8;25;10
06/10/2020;11;24;6
07/10/2020;15;23;10
08/10/2020;18;25;12
09/10/2020;19;20;9
10/10/2020;19;28;4
11/10/2020;10;31;3
12/10/2020;6;29;8
13/10/2020;9;22;9
14/10/2020;10;21;7
15/10/2020;6;26;9
16/10/2020;9;31;10
17/10/2020;11;31;9
18/10/2020;14;34;15
19/10/2020;14;39;12
20/10/2020;14;36;11
21/10/2020;32;25;13
22/10/2020;56;31;7
23/10/2020;34;31;4
24/10/2020;10;28;5
25/10/2020;9;27;4
26/10/2020;9;24;7
27/10/2020;8;20;14
28/10/2020;13;28;16
29/10/2020;16;26;18
30/10/2020;12;32;13
31/10/2020;19;33;8
01/11/2020;19;30;15
02/11/2020;18;23;12
03/11/2020;20;20;9
04/11/2020;10;27;7
05/11/2020;9;27;6
06/11/2020;13;27;4
07/11/2020;19;26;8
08/11/2020;16;23;22
09/11/2020;10;20;17
10/11/2020;16;27;14
11/11/2020;14;24;13
12/11/2020;11;18;19
13/11/2020;14;25;10
14/11/2020;15;28;5
15/11/2020;15;22;10
16/11/2020;14;20;14
17/11/2020;17;22;17
18/11/2020;18;19;13
19/11/2020;20;19;13
20/11/2020;16;25;10
21/11/2020;15;27;10
22/11/2020;16;27;16
23/11/2020;18;27;14
24/11/2020;17;25;22
25/11/2020;17;28;12
26/11/2020;16;30;6
27/11/2020;14;29;3
28/11/2020;14;26;7
29/11/2020;11;23;14
30/11/2020;12;16;8
01/12/2020;12;18;9
02/12/2020;10;21;10
03/12/2020;10;25;11
04/12/2020;10;23;4
05/12/2020;7;23;1
06/12/2020;4;25;11
07/12/2020;6;25;3
08/12/2020;6;22;4
09/12/2020;7;20;11
10/12/2020;7;17;15
11/12/2020;10;26;1
12/12/2020;8;24;7
13/12/2020;8;7;30
14/12/2020;17;20;17
15/12/2020;25;20;19
16/12/2020;11;16;19
