date, pm25, pm10, o3, no2, so2, co
2021/11/1, 20, 7, 28, 9, 1, 
2021/11/2, 18, 3, 26, 11, 1, 
2021/11/3, 9, 4, 22, 13, 1, 
2021/11/4, 14, 7, 14, 19, , 
2021/11/5, 20, 14, 13, 15, 1, 
2021/11/6, 44, 19, 2, 10, 2, 
2021/11/7, 56, , , , , 
2021/10/1, 49, 11, 25, 7, 1, 
2021/10/2, 35, 8, 24, , , 
2021/10/3, 20, , , , , 
2021/10/30, 22, 6, 23, 8, 1, 
2021/10/31, 19, 8, 26, 9, 1, 
2021/9/1, 60, 18, 25, 13, , 
2021/9/2, 63, 21, 27, 11, , 
2021/9/3, 66, 19, 28, 9, , 
2021/9/4, 64, 21, 32, 13, 1, 
2021/9/5, 68, 25, 21, 27, , 
2021/9/6, 66, 26, 30, 15, , 
2021/9/7, 60, 21, 27, 12, , 
2021/9/8, 60, 11, 20, 10, , 
2021/9/9, 35, 11, 28, 12, , 
2021/9/10, 38, 14, 26, 10, , 
2021/9/11, 49, 20, 29, 13, , 
2021/9/12, 59, 24, 25, 14, , 
2021/9/13, 55, 16, 15, 15, , 
2021/9/14, 42, 16, 21, 11, , 
2021/9/15, 40, 11, 211, 12, , 
2021/9/16, 33, 16, 25, 11, , 
2021/9/17, 46, 8, 22, 6, , 
2021/9/18, 22, 8, 27, 7, , 
2021/9/19, 23, 8, 17, 12, , 
2021/9/20, 25, 16, 18, 11, , 
2021/9/21, 50, 18, 19, 16, , 
2021/9/22, 56, 23, 18, 13, 1, 
2021/9/23, 62, 25, 10, 16, 1, 
2021/9/24, 71, 12, 28, 9, 1, 
2021/9/25, 43, 12, 27, 13, 1, 
2021/9/26, 36, 13, 21, 10, 1, 
2021/9/27, 32, 18, 24, 13, 1, 
2021/9/28, 46, 18, 15, 13, 1, 
2021/9/29, 42, 14, 20, 12, 1, 
2021/9/30, 39, 19, 10, 17, 2, 
2021/8/1, 31, 14, 27, 10, , 
2021/8/2, 41, 15, 25, 12, , 
2021/8/3, 47, 10, 17, 12, , 
2021/8/4, 35, 12, 22, 9, , 
2021/8/5, 34, 10, 21, 9, , 
2021/8/6, 25, 10, 19, 9, , 
2021/8/7, 31, 9, 25, 5, , 
2021/8/8, 25, 14, 23, 10, , 
2021/8/9, 43, 14, 22, 10, , 
2021/8/10, 44, 14, 20, 10, , 
2021/8/11, 43, 15, 21, 9, , 
2021/8/12, 46, 14, 23, 8, , 
2021/8/13, 49, 17, 20, 7, , 
2021/8/14, 55, 10, 22, 7, , 
2021/8/15, 36, 9, 21, 10, , 
2021/8/16, 24, 11, 28, 9, , 
2021/8/17, 34, 9, 27, 9, , 
2021/8/18, 25, 5, 19, 10, , 
2021/8/19, 16, 16, 26, 10, , 
2021/8/20, 51, 14, 29, 8, , 
2021/8/21, 50, 11, 20, 8, , 
2021/8/22, 37, 9, 21, 8, , 
2021/8/23, 29, 12, 28, 10, , 
2021/8/24, 37, 16, 29, 12, , 
2021/8/25, 50, 18, 30, 12, , 
2021/8/26, 54, 19, 35, 11, , 
2021/8/27, 55, 8, 32, 6, , 
2021/8/28, 30, 11, 29, 9, , 
2021/8/29, 35, 14, 25, 12, , 
2021/8/30, 45, 16, 30, 12, , 
2021/8/31, 49, 21, 26, 14, , 
2021/7/1, 48, 17, 23, 13, 2, 
2021/7/2, 54, 13, 22, 11, 2, 
2021/7/3, 52, 7, 21, 6, 2, 
2021/7/4, 26, 13, 19, 14, 3, 
2021/7/5, 35, 12, 16, 11, 2, 
2021/7/6, 34, 14, 17, 13, 2, 
2021/7/7, 38, 11, 20, 10, 1, 
2021/7/8, 34, 15, 23, 10, 1, 
2021/7/9, 41, 12, 30, 7, 2, 
2021/7/10, 48, 13, 26, 9, 1, 
2021/7/11, 48, 10, 16, 9, , 
2021/7/12, 26, 9, 17, 8, , 
2021/7/13, 28, 10, 18, 10, , 
2021/7/14, 34, 11, 16, 11, , 
2021/7/15, 37, 16, 21, 12, , 
2021/7/16, 48, 16, 28, 10, 1, 
2021/7/17, 56, 18, 32, 11, 2, 
2021/7/18, 61, 25, 32, 15, 2, 
2021/7/19, 65, 29, 32, 16, 3, 
2021/7/20, 73, 30, 31, 11, , 
2021/7/21, 81, 17, 29, 11, , 
2021/7/22, 57, 16, 24, 12, , 
2021/7/23, 51, 11, 26, 9, , 
2021/7/24, 36, 8, 24, 6, , 
2021/7/25, 30, 11, 30, 10, , 
2021/7/26, 40, 17, 23, 13, 2, 
2021/7/27, 49, 10, 19, 12, , 
2021/7/28, 34, 15, 16, 12, , 
2021/7/29, 46, 13, 21, 10, , 
2021/7/30, 43, 8, 17, 9, , 
2021/7/31, 25, 9, 26, 8, , 
2021/6/1, 50, 26, 31, 14, 3, 
2021/6/2, 67, 13, 28, 15, 2, 
2021/6/3, 39, 8, 19, 16, 2, 
2021/6/4, 22, 13, 23, 9, 2, 
2021/6/5, 40, 12, 30, 6, 2, 
2021/6/6, 39, 17, 28, 13, 3, 
2021/6/7, 50, 20, 28, 11, 3, 
2021/6/8, 56, 16, 29, 11, 3, 
2021/6/9, 51, 19, 26, 15, 3, 
2021/6/10, 56, 16, 22, 10, 3, 
2021/6/11, 47, 19, 33, 7, 3, 
2021/6/12, 62, 25, 35, 14, 3, 
2021/6/13, 75, 24, 34, 13, 2, 
2021/6/14, 70, 25, 32, 14, 3, 
2021/6/15, 65, 21, 25, 19, 2, 
2021/6/16, 53, 18, 20, 14, 2, 
2021/6/17, 55, 18, 24, 13, 2, 
2021/6/18, 55, 11, 26, 7, 2, 
2021/6/19, 37, 10, 25, 6, 2, 
2021/6/20, 29, 7, 19, 10, 2, 
2021/6/21, 21, 7, 22, 12, 2, 
2021/6/22, 19, 8, 23, 13, 1, 
2021/6/23, 25, 11, 25, 12, 2, 
2021/6/24, 38, 15, 26, 10, 2, 
2021/6/25, 47, 14, 27, 9, 1, 
2021/6/26, 48, 9, 21, 9, 2, 
2021/6/27, 36, 15, 21, 15, 2, 
2021/6/28, 42, 16, 21, 11, 2, 
2021/6/29, 47, 15, 24, 11, 1, 
2021/6/30, 48, 15, 20, 13, 1, 
2021/5/1, 54, , , , , 
2021/5/3, 50, 19, 31, 16, 4, 
2021/5/4, 51, 10, 22, 15, 3, 
2021/5/5, 32, 13, 21, 12, 3, 
2021/5/6, 39, 16, 23, 12, 3, 
2021/5/7, 48, 15, 27, 10, 3, 
2021/5/8, 48, 15, 29, 10, 3, 
2021/5/9, 43, 8, 30, 12, 3, 
2021/5/10, 23, 9, 29, 13, 3, 
2021/5/11, 19, 9, 29, 9, , 
2021/5/12, 23, 11, 30, 17, 3, 
2021/5/13, 39, 9, 26, 12, 3, 
2021/5/14, 24, 12, 21, 14, 3, 
2021/5/15, 42, 11, 26, 11, 3, 
2021/5/16, 36, 16, 24, 11, 3, 
2021/5/17, 39, 14, 24, 18, 3, 
2021/5/18, 39, 10, 26, 13, 2, 
2021/5/19, 31, 14, 25, 18, 4, 
2021/5/20, 37, 14, 18, 22, 4, 
2021/5/21, 43, 11, 21, 15, 3, 
2021/5/22, 31, 10, 30, 10, 3, 
2021/5/23, 32, 17, 30, 16, 3, 
2021/5/24, 48, 18, 27, 12, 3, 
2021/5/25, 47, 19, 26, 17, 3, 
2021/5/26, 51, 23, 24, 16, 5, 
2021/5/27, 59, 25, 24, 20, 4, 
2021/5/28, 67, 19, 25, 9, 3, 
2021/5/29, 63, 13, 35, 9, 4, 
2021/5/30, 48, 23, 29, 20, 4, 
2021/5/31, 61, 19, 34, 9, 2, 
2021/4/1, 52, 46, 30, 13, 4, 
2021/4/2, 82, 41, 31, 5, 3, 
2021/4/3, 84, 17, 33, 8, 3, 
2021/4/4, 50, 19, 34, 12, 3, 
2021/4/5, 58, 14, 36, 13, 3, 
2021/4/6, 39, 11, 30, 10, 2, 
2021/4/7, 28, 17, 32, 18, 3, 
2021/4/8, 45, 16, 26, 14, 3, 
2021/4/9, 45, 12, 26, 9, 3, 
2021/4/10, 40, 9, 27, 11, 2, 
2021/4/11, 31, 15, 29, 15, 2, 
2021/4/12, 46, 16, 27, 15, 3, 
2021/4/13, 42, 22, 31, 15, 3, 
2021/4/14, 54, 21, 32, 18, 3, 
2021/4/15, 58, 17, 34, 16, 4, 
2021/4/16, 49, 16, 30, 13, 3, 
2021/4/17, 51, 19, 35, 13, 4, 
2021/4/18, 60, 28, 28, 20, 5, 
2021/4/19, 69, 24, 34, 19, 5, 
2021/4/20, 61, 21, 32, 16, 4, 
2021/4/21, 61, 8, 32, 11, 2, 
2021/4/22, 24, 9, 41, 12, 3, 
2021/4/23, 24, 9, 37, 6, 2, 
2021/4/24, 26, 9, 32, 8, 3, 
2021/4/25, 32, 18, 29, 17, 3, 
2021/4/26, 56, 13, 28, 16, 3, 
2021/4/27, 46, 19, 29, 17, 3, 
2021/4/28, 55, 8, 23, 19, 3, 
2021/4/29, 30, 12, 23, 18, 3, 
2021/4/30, 46, 15, 9, 9, 3, 
2021/3/1, 60, 39, 27, 9, , 
2021/3/2, 69, 50, 20, 16, 1, 
2021/3/3, 84, 55, 19, 17, 2, 
2021/3/4, 99, 41, 27, 15, 1, 
2021/3/5, 92, 20, 26, 5, , 
2021/3/6, 58, 22, 23, 11, , 
2021/3/7, 59, 27, 27, 15, , 
2021/3/8, 68, 25, 25, 19, , 
2021/3/9, 75, 26, 19, 25, 1, 
2021/3/10, 70, 23, 23, 18, 1, 
2021/3/11, 50, 16, 23, 16, , 
2021/3/12, 38, 14, 28, 14, , 
2021/3/13, 39, 13, 31, 9, , 
2021/3/14, 39, 19, 32, 17, , 
2021/3/15, 49, 14, 21, 18, 4, 
2021/3/16, 38, 10, 29, 12, 3, 
2021/3/17, 31, 13, 32, 14, 3, 
2021/3/18, 36, 9, 30, 7, 3, 
2021/3/19, 31, 11, 34, 7, 3, 
2021/3/20, 37, 12, 30, 9, 3, 
2021/3/21, 39, 13, 21, 16, 3, 
2021/3/22, 47, 25, 19, 24, 5, 
2021/3/23, 62, 25, 26, 21, 6, 
2021/3/24, 62, 20, 23, 18, 4, 
2021/3/25, 57, 24, 28, 20, 4, 
2021/3/26, 61, 14, 29, 11, 3, 
2021/3/27, 41, 20, 29, 17, 5, 
2021/3/28, 55, 24, 37, 19, 3, 
2021/3/29, 48, 39, 29, 21, 2, 
2021/3/30, 60, 36, 35, 17, 4, 
2021/3/31, 57, 31, 32, 14, 2, 
2021/2/1, 51, 4, 16, 7, 2, 
2021/2/2, 15, 3, 29, 5, 1, 
2021/2/3, 13, 10, , 26, , 
2021/2/4, 22, 15, 15, 19, 1, 
2021/2/5, 48, 9, 28, 10, , 
2021/2/6, 28, 4, 25, 8, , 
2021/2/7, 9, 10, 22, 18, 1, 
2021/2/8, 17, 3, 35, 8, , 
2021/2/9, 6, 9, 28, 15, , 
2021/2/10, 18, 13, 14, 20, 1, 
2021/2/11, 31, 9, 21, 16, , 
2021/2/12, 23, 20, 8, 19, 1, 
2021/2/13, 53, 11, 25, 8, , 
2021/2/14, 30, 8, 23, 6, , 
2021/2/15, 26, 11, 23, 14, , 
2021/2/16, 33, 15, 24, 14, 1, 
2021/2/17, 45, 23, 23, 16, , 
2021/2/18, 43, 54, 31, 8, , 
2021/2/19, 77, 23, 31, 8, , 
2021/2/20, 49, 37, 32, 4, , 
2021/2/21, 61, 8, 25, 16, 1, 
2021/2/22, 13, 7, 27, 8, 1, 
2021/2/23, 22, 24, 23, 8, 1, 
2021/2/24, 50, 34, 26, 15, 2, 
2021/2/25, 65, 22, 26, 12, 2, 
2021/2/26, 54, 22, 26, 8, 1, 
2021/2/27, 58, 20, 17, 11, 2, 
2021/2/28, 64, 28, 26, 9, 1, 
2021/1/4, 7, 12, 4, 20, 1, 
2021/1/5, 44, 13, 7, 14, 1, 
2021/1/6, 46, 16, 20, 14, 1, 
2021/1/7, 49, 17, 11, 19, 1, 
2021/1/8, 51, 15, 16, 15, , 
2021/1/9, 51, 12, 19, 12, , 
2021/1/10, 39, 14, 18, 19, , 
2021/1/11, 32, 20, 4, 23, 1, 
2021/1/12, 50, 24, 2, 25, 3, 
2021/1/13, 56, 18, 22, 21, 2, 
2021/1/14, 46, 10, 19, 20, 2, 
2021/1/15, 20, 16, 9, 21, 3, 
2021/1/16, 42, 11, 15, 20, 2, 
2021/1/17, 37, 15, 14, 19, 1, 
2021/1/18, 42, 8, 31, 13, 1, 
2021/1/19, 22, 7, 31, 6, 1, 
2021/1/20, 26, 3, 33, 5, 1, 
2021/1/21, 10, 3, 30, 6, 1, 
2021/1/22, 7, 2, 28, 4, 1, 
2021/1/23, 6, 4, 31, 10, 1, 
2021/1/24, 10, 11, 18, 19, 1, 
2021/1/25, 30, 13, 8, 19, 2, 
2021/1/26, 37, 14, 9, 21, 2, 
2021/1/27, 40, 16, 7, 15, 2, 
2021/1/28, 40, 17, 21, 16, 2, 
2021/1/29, 42, 6, 33, 9, 1, 
2021/1/30, 16, 8, 33, 8, 1, 
2021/1/31, 22, 23, 29, 16, 2, 
2020/10/1, 34, 5, 28, 10, , 
2020/10/2, 11, 11, 28, 8, , 
2020/10/3, 26, 5, 25, 8, , 
2020/10/4, 15, 12, 20, 13, , 
2020/10/5, 26, 22, 8, 19, 1, 
2020/10/6, 42, 10, 11, 19, 1, 
2020/10/7, 23, 19, 12, 17, 1, 
2020/10/8, 36, 20, 11, 19, 1, 
2020/10/9, 48, 8, 24, 11, , 
2020/10/10, 18, 7, 31, 10, , 
2020/10/11, 14, 8, 29, 10, , 
2020/10/12, 17, 8, 26, 16, , 
2020/10/13, 16, 9, 20, 17, , 
2020/10/14, 17, 12, 11, 21, , 
2020/10/15, 30, 18, 9, 19, , 
2020/10/16, 47, 15, 14, 15, , 
2020/10/17, 42, 17, 11, 17, 1, 
2020/10/18, 39, 23, 34, 12, , 
2020/10/19, 35, 18, 30, 7, , 
2020/10/20, 30, 6, 28, 12, , 
2020/10/21, 11, 9, 14, 18, 4, 
2020/10/22, 17, 10, 16, 16, 3, 
2020/10/23, 20, 8, 28, 7, 2, 
2020/10/24, 22, 6, 28, 10, 1, 
2020/10/25, 13, 8, 19, 15, 1, 
2020/10/26, 15, 7, 22, 9, 1, 
2020/10/27, 16, 16, 20, 17, 3, 
2020/10/28, 32, 25, 16, 16, 4, 
2020/10/29, 54, 34, 16, 20, 6, 
2020/10/30, 66, 12, 18, 8, 4, 
2020/10/31, 30, 5, 20, 1, 4, 
2020/11/1, 13, 9, 28, 3, 4, 
2020/11/2, 14, 9, 27, 15, 3, 
2020/11/3, 19, 12, 21, 7, 3, 
2020/11/4, 30, 23, 22, 16, 3, 
