date, pm25, pm10, o3, no2, so2, co
2021/11/1, 34, 10, 28, 8, 1, 
2021/11/2, 29, 6, 27, 7, , 
2021/11/3, 23, 8, 24, 7, 1, 
2021/11/4, 27, 9, 16, 13, 1, 
2021/11/5, 30, 11, 20, 11, 1, 
2021/11/6, 35, 10, 17, 11, 1, 
2021/11/7, 29, , , , , 
2021/10/1, 49, 16, 30, 5, 1, 
2021/10/2, 49, 24, 29, 1, 1, 
2021/10/3, 60, , , , , 
2021/10/30, 33, 11, 26, 4, , 
2021/10/31, 37, 12, 28, 5, , 
2021/9/1, 58, 16, 28, 7, 1, 
2021/9/2, 52, 17, 34, 6, , 
2021/9/3, 55, 16, 34, 4, , 
2021/9/4, 53, 17, 30, 6, , 
2021/9/5, 52, 16, 44, 11, , 
2021/9/6, 42, 22, 35, 5, , 
2021/9/7, 51, 20, 28, 5, , 
2021/9/8, 47, 18, 27, 5, , 
2021/9/9, 49, 15, 29, 5, , 
2021/9/10, 47, 18, 27, 5, , 
2021/9/11, 50, 19, 29, 6, 1, 
2021/9/12, 51, 28, 26, 5, , 
2021/9/13, 72, 19, 24, 8, , 
2021/9/14, 48, 21, 29, 4, 1, 
2021/9/15, 55, 21, 27, 4, , 
2021/9/16, 58, 21, 33, 6, 1, 
2021/9/17, 58, 25, 25, 2, , 
2021/9/18, 71, 18, 27, 2, 1, 
2021/9/19, 56, 21, 23, 2, 1, 
2021/9/20, 59, 21, 27, 5, 1, 
2021/9/21, 60, 24, 27, 7, 1, 
2021/9/22, 64, 26, 29, 7, 1, 
2021/9/23, 65, 22, 22, 10, 1, 
2021/9/24, 56, 18, 33, 4, 1, 
2021/9/25, 53, 16, 36, 4, , 
2021/9/26, 52, 19, 26, 7, 1, 
2021/9/27, 56, 20, 26, 6, 1, 
2021/9/28, 52, 20, 24, 5, 1, 
2021/9/29, 54, 18, 29, 7, 1, 
2021/9/30, 49, 18, 23, 11, 1, 
2021/8/1, 45, 11, 28, 5, 1, 
2021/8/2, 41, 12, 24, 7, 1, 
2021/8/3, 39, 12, 22, 6, 1, 
2021/8/4, 45, 12, 29, 4, 1, 
2021/8/5, 41, 12, 24, 3, 1, 
2021/8/6, 41, 12, 23, 2, 1, 
2021/8/7, 44, 13, 23, 5, 1, 
2021/8/8, 42, 14, 30, 5, 1, 
2021/8/9, 42, 16, 25, 6, 1, 
2021/8/10, 49, 14, 22, 3, 1, 
2021/8/11, 42, 16, 23, 3, 1, 
2021/8/12, 55, 16, 20, 3, 1, 
2021/8/13, 49, 20, 25, 2, 1, 
2021/8/14, 58, 19, 25, 3, 1, 
2021/8/15, 60, 21, 27, 4, 1, 
2021/8/16, 66, 20, 30, 2, 1, 
2021/8/17, 61, 15, 30, 4, 1, 
2021/8/18, 55, 14, 26, 4, 1, 
2021/8/19, 55, 16, 33, 5, 1, 
2021/8/20, 52, 15, 27, 3, 1, 
2021/8/21, 50, 14, 22, 4, 1, 
2021/8/22, 51, 14, 26, 2, , 
2021/8/23, 45, 20, 33, 5, 1, 
2021/8/24, 60, 17, 32, 5, 1, 
2021/8/25, 55, 16, 33, 5, , 
2021/8/26, 51, 14, 36, 5, , 
2021/8/27, 48, 15, 32, 2, , 
2021/8/28, 44, 14, 31, 3, , 
2021/8/29, 48, 14, 30, 6, , 
2021/8/30, 49, 14, 34, 6, 1, 
2021/8/31, 47, 20, 22, 11, , 
2021/7/1, 50, 18, 28, 4, 1, 
2021/7/2, 52, 23, 27, 4, 1, 
2021/7/3, 72, 15, 24, 2, 1, 
2021/7/4, 56, 18, 24, 6, 1, 
2021/7/5, 57, 17, 24, 3, 1, 
2021/7/6, 55, 9, 23, 5, 1, 
2021/7/7, 44, 10, 22, 4, 1, 
2021/7/8, 43, 13, 23, 4, 1, 
2021/7/9, 41, 12, 28, 2, 1, 
2021/7/10, 40, 15, 27, 4, 1, 
2021/7/11, 50, 11, 19, 4, 1, 
2021/7/12, 34, 12, 19, 1, 1, 
2021/7/13, 28, 11, 21, 1, 1, 
2021/7/14, 30, 11, 21, 5, 1, 
2021/7/15, 37, 16, 23, 6, 1, 
2021/7/16, 50, 21, 29, 5, 1, 
2021/7/17, 61, 24, 29, 5, 1, 
2021/7/18, 68, 28, 39, 6, 1, 
2021/7/19, 71, 33, 37, 6, 1, 
2021/7/20, 84, 37, 34, 1, 1, 
2021/7/21, 85, 19, 35, 1, 1, 
