date, pm10, o3, no2, so2, co
2021/11/1, 6, 26, 11, 2, 
2021/11/2, 15, 28, 4, , 
2021/11/3, 8, 22, 10, 1, 
2021/11/4, 13, 22, 12, , 
2021/11/5, 19, 20, 9, , 
2021/11/6, 8, 12, 7, , 
2021/11/7, 15, , , , 
2021/10/29, 29, 16, , , 
2021/10/30, 25, 17, 12, 1, 
2021/10/31, 16, 28, 9, 2, 
2021/9/1, 20, 38, 6, 1, 
2021/9/2, 18, 36, 7, 1, 
2021/9/3, 20, 39, 5, 1, 
2021/9/4, 20, 41, 4, 1, 
2021/9/5, 20, 36, 5, 1, 
2021/9/6, 24, 34, 6, , 
2021/9/7, 25, 35, 6, , 
2021/9/8, 24, 33, 7, , 
2021/9/9, 27, 30, 7, , 
2021/9/10, 24, 33, 4, , 
2021/9/11, 18, 32, 4, , 
2021/9/12, 18, 28, 6, , 
2021/9/13, 22, 24, 7, , 
2021/9/14, 30, 26, 6, , 
2021/9/15, 31, 28, 6, , 
2021/9/16, 21, 29, 7, 1, 
2021/9/17, 20, 29, 5, 1, 
2021/9/18, 24, 27, 2, 1, 
2021/9/19, 16, 25, 4, 1, 
2021/9/20, 15, 22, 5, 1, 
2021/9/21, 19, 14, 10, 1, 
2021/9/22, 30, 20, 15, 1, 
2021/9/23, 29, 22, 13, 1, 
2021/9/24, 30, 26, 9, 3, 
2021/9/25, 30, 36, 8, 1, 
2021/9/26, 26, 10, 13, 1, 
2021/9/27, 18, , 8, 1, 
2021/8/1, 14, 34, 7, 1, 
2021/8/2, 12, 34, 5, 1, 
2021/8/3, 18, 32, 5, 1, 
2021/8/4, 19, 34, 6, 1, 
2021/8/5, 19, 32, 6, 1, 
2021/8/6, 25, 30, 4, 1, 
2021/8/7, 27, 27, 2, 1, 
2021/8/8, 19, 32, 5, 1, 
2021/8/9, 18, 39, 7, 1, 
2021/8/10, 26, 37, 10, 1, 
2021/8/11, 39, 38, 6, 1, 
2021/8/12, 58, 45, 9, 1, 
2021/8/13, 51, 39, 9, 1, 
2021/8/14, 52, 37, 6, 1, 
2021/8/15, 55, 29, 3, 1, 
2021/8/16, 35, 29, 3, 1, 
2021/8/17, 19, 36, 5, 1, 
2021/8/18, 21, 27, 7, 1, 
2021/8/19, 31, 37, 6, 1, 
2021/8/20, 30, 37, 4, 1, 
2021/8/21, 29, 33, 3, 1, 
2021/8/22, 24, 29, 3, 1, 
2021/8/23, 22, 33, 3, 1, 
2021/8/24, 20, 37, 5, 1, 
2021/8/25, 21, 40, 5, 1, 
2021/8/26, 22, 38, 7, 1, 
2021/8/27, 30, 40, 5, 1, 
2021/8/28, 35, 32, 3, 1, 
2021/8/29, 24, 23, 7, 1, 
2021/8/30, 22, 34, 8, 1, 
2021/8/31, 21, 22, 8, 1, 
2021/7/1, 27, 37, 5, 1, 
2021/7/2, 30, 38, 6, 1, 
2021/7/3, 31, 36, 4, 1, 
2021/7/4, 30, 27, 4, 1, 
2021/7/5, 26, 19, 4, 1, 
2021/7/6, 32, 22, 4, 1, 
2021/7/7, 27, 26, 3, 1, 
2021/7/8, 15, 32, 5, 1, 
2021/7/9, 23, 37, 4, 1, 
2021/7/10, 26, 34, 4, 1, 
2021/7/11, 28, 28, 5, 1, 
2021/7/12, 30, 22, 1, 1, 
2021/7/13, 23, 27, 2, 1, 
2021/7/14, 19, 31, 3, 1, 
2021/7/15, 16, 35, 6, 1, 
2021/7/16, 23, 39, 4, 1, 
2021/7/17, 28, 41, 4, 1, 
2021/7/18, 24, 41, 4, 1, 
2021/7/19, 27, 40, 5, 1, 
2021/7/20, 31, 49, 7, 1, 
2021/7/21, 30, 43, 7, 1, 
2021/7/22, 26, 42, 8, 1, 
2021/7/23, 32, 37, 4, 1, 
2021/7/24, 29, 34, 2, 1, 
2021/7/25, 19, 32, 4, 1, 
2021/7/26, 19, 42, 8, 1, 
2021/7/27, 20, 37, 4, 1, 
2021/7/28, 22, 40, 5, 1, 
2021/7/29, 26, 38, 5, 1, 
2021/7/30, 28, 23, 2, 1, 
2021/7/31, 27, 28, 2, 1, 
2021/6/1, 29, 35, 6, , 
2021/6/2, 23, 39, 7, , 
2021/6/3, 21, 38, 5, , 
2021/6/4, 27, 33, 2, , 
2021/6/5, 23, 30, 1, , 
2021/6/6, 13, 37, 5, , 
2021/6/7, 16, 41, 6, 1, 
2021/6/8, 26, 38, 6, 1, 
2021/6/9, 29, 38, 7, 1, 
2021/6/10, 33, 32, 8, 1, 
2021/6/11, 31, 46, 6, , 
2021/6/12, 30, 46, 6, 1, 
2021/6/13, 25, 43, 8, , 
2021/6/14, 30, 50, 8, 1, 
2021/6/15, 40, 40, 9, 1, 
2021/6/16, 45, 26, 12, 1, 
2021/6/17, 34, 37, 10, , 
2021/6/18, 21, 24, 9, 1, 
2021/6/19, 27, 31, 6, , 
2021/6/20, 38, 31, 7, 1, 
2021/6/21, 20, 29, 4, , 
2021/6/22, 18, 25, 4, 1, 
2021/6/23, 15, 33, 4, 1, 
2021/6/24, 16, 37, 5, 1, 
2021/6/25, 17, 35, 4, 1, 
2021/6/26, 20, 38, 3, 1, 
2021/6/27, 20, 33, 4, 1, 
2021/6/28, 19, 33, 5, 1, 
2021/6/29, 22, 30, 4, 1, 
2021/6/30, 23, 33, 4, 1, 
2021/5/1, 10, 36, 2, , 
2021/5/2, 11, 37, 5, , 
2021/5/3, 12, 34, 7, , 
