date, pm25, pm10, o3, no2, so2, co
2021/11/1, 33, 15, 20, 19, 2, 2
2021/11/2, 31, 22, 15, 15, 1, 2
2021/11/3, 44, 20, 14, 14, 1, 2
2021/11/4, 49, 19, 14, 18, , 2
2021/11/5, 44, 23, 13, 16, , 2
2021/11/6, 54, 24, 14, 11, , 3
2021/11/7, 55, 25, 9, 22, 1, 3
2021/11/8, 55, 23, 10, 20, 1, 3
2021/11/9, 49, 32, 9, 23, 1, 3
2021/11/10, 62, 35, 7, 9, 1, 3
2021/11/11, 78, 36, 5, 9, 1, 3
2021/11/12, 80, 30, 5, 8, 1, 3
2021/11/13, 71, 31, 11, 6, 2, 3
2021/11/14, 73, 24, 17, 8, 1, 3
2021/11/15, 57, 24, 10, 12, 1, 3
2021/11/16, 48, 22, 16, 11, 1, 3
2021/11/17, 50, 23, 11, 11, 1, 3
2021/11/18, 55, 31, 4, 14, 1, 4
2021/11/19, 65, 31, 4, 11, 1, 5
2021/11/20, 75, 31, 14, 9, 1, 3
2021/11/21, 72, 17, 18, 7, 1, 2
2021/11/22, 44, , , , , 
2021/10/1, 23, 9, 14, 6, 2, 2
2021/10/2, 7, 8, 26, 1, 2, 2
2021/10/3, 28, 16, 27, 8, 1, 1
2021/10/4, 25, 13, 19, 17, 1, 1
2021/10/5, 18, 15, 18, 14, , 1
2021/10/6, 20, 14, 19, 17, 1, 1
2021/10/7, 18, 19, 16, 21, 1, 1
2021/10/8, 23, 17, 23, 8, 1, 1
2021/10/9, 25, 17, 26, 6, 1, 1
2021/10/10, 36, 18, 21, 19, 1, 1
2021/10/11, 42, 17, 21, 15, 1, 1
2021/10/12, 37, 19, 19, 24, 1, 1
2021/10/13, 37, 19, 11, 24, 1, 1
2021/10/14, 32, 20, 23, 20, 1, 1
2021/10/15, 34, 19, 10, 16, 1, 2
2021/10/16, 39, 14, 19, 10, 1, 1
2021/10/17, 19, 11, 9, 18, 1, 2
2021/10/18, 17, 13, 15, 12, 1, 1
2021/10/19, 15, 17, 23, 12, 1, 1
2021/10/20, 29, 22, 23, 11, 1, 1
2021/10/21, 37, 15, 20, 14, 1, 1
2021/10/22, 27, 16, 14, 11, 1, 2
2021/10/23, 33, 18, 11, 12, 1, 2
2021/10/24, 50, 19, 14, 15, 1, 2
2021/10/25, 45, 21, 10, 20, 1, 2
2021/10/26, 42, 20, 10, 19, 1, 2
2021/10/27, 37, 29, 19, 25, 2, 3
2021/10/28, 59, 14, 16, 23, 2, 2
2021/10/29, 36, 16, 21, 16, 2, 2
2021/10/30, 24, 12, 21, 9, 1, 2
2021/10/31, 16, 18, 24, 9, 2, 1
2021/9/1, 14, 26, 28, 7, 1, 1
2021/9/2, 23, 24, 30, 7, 1, 1
2021/9/3, 20, 21, 34, 7, 1, 1
2021/9/4, 21, 18, 40, 7, 2, 1
2021/9/5, 16, 37, 31, 13, 2, 1
2021/9/6, 27, 21, 20, 8, 2, 1
2021/9/7, 20, 19, 15, 9, 1, 1
2021/9/8, 13, 22, 18, 8, 2, 1
2021/9/9, 7, 20, 20, 8, 1, 1
2021/9/10, 9, 19, 26, 5, 1, 1
2021/9/11, 9, 15, 26, 6, 2, 1
2021/9/12, 8, 19, 12, 10, 2, 1
2021/9/13, 10, 17, 18, 6, 2, 1
2021/9/17, 18, 19, 23, 5, 2, 1
2021/9/18, 16, 16, 26, 4, 1, 1
2021/9/19, 10, 19, 27, 6, 1, 1
2021/9/20, 14, 18, 25, 7, 1, 1
2021/9/21, 24, 19, 26, 9, 1, 1
2021/9/22, 44, 20, 30, 7, 2, 1
2021/9/23, 41, 21, 26, 9, 2, 2
2021/9/24, 35, 16, 27, 7, 2, 2
2021/9/25, 18, 15, 25, 5, 1, 1
2021/9/26, 15, 12, 19, 10, 1, 1
2021/9/27, 17, 16, 29, 7, 1, 1
2021/9/28, 28, 14, 22, 8, 1, 1
2021/9/29, 21, 17, 18, 10, 1, 2
2021/9/30, 31, 13, 20, 9, 1, 2
2021/8/1, 24, 17, 24, 6, 1, 1
2021/8/2, 15, 18, 23, 6, 1, 1
2021/8/3, 16, 11, 27, 4, 1, 1
2021/8/4, 7, 14, 20, 4, , 1
2021/8/5, 6, 17, 26, 5, 1, 1
2021/8/6, 8, 15, 22, 3, 1, 1
2021/8/7, 10, 14, 28, 3, 1, 1
2021/8/8, 7, 20, 32, 7, 1, 1
2021/8/9, 20, 27, 34, 6, 1, 1
2021/8/10, 24, 20, 28, 6, 1, 1
2021/8/11, 17, 21, 30, 7, 1, 1
2021/8/12, 21, 22, 35, 7, 1, 1
2021/8/13, 20, 24, 38, 4, 1, 1
2021/8/14, 31, 16, 30, 2, 1, 1
2021/8/15, 13, 17, 29, 4, , 1
2021/8/16, 11, 22, 29, 5, 1, 1
2021/8/17, 18, 26, 32, 5, 1, 1
2021/8/18, 28, 19, 33, 6, 1, 1
2021/8/19, 14, 22, 30, 5, 1, 1
2021/8/20, 14, 11, 19, 4, 1, 1
2021/8/21, 8, 16, 21, 3, , 1
2021/8/22, 6, 33, 23, 5, 1, 1
2021/8/23, 46, , 29, 6, 1, 1
2021/8/25, 41, 35, 33, 8, 1, 1
2021/8/26, 37, 37, 43, 7, 1, 1
2021/8/27, 33, 34, 28, 4, 1, 1
2021/8/28, 34, 28, 27, 2, 1, 1
2021/8/29, 31, 28, 28, 6, 2, 1
2021/8/30, 25, 51, 30, 7, 2, 1
2021/8/31, 22, 30, 18, 9, 1, 1
2021/7/1, 46, 22, 14, 9, , 1
2021/7/2, 44, 13, 24, 3, , 1
2021/7/3, 18, 15, 21, 2, , 1
2021/7/4, 20, 14, 16, 3, , 1
2021/7/5, 14, 16, 23, 4, 1, 1
2021/7/6, 32, 17, 19, 4, , 1
2021/7/7, 27, 17, 23, 4, , 1
2021/7/8, 36, 20, 27, 5, , 3
2021/7/9, 43, 21, 23, 4, 1, 1
2021/7/10, 38, 18, 25, 2, 1, 1
2021/7/11, 33, 26, 18, 4, , 1
2021/7/12, 39, 19, 19, 5, , 1
2021/7/13, 41, 18, 23, 5, , 1
2021/7/14, 30, 17, 25, 4, , 1
2021/7/15, 29, 20, 38, 6, , 1
2021/7/16, 15, 23, 44, 6, 1, 1
2021/7/17, 20, 26, 43, 4, 1, 1
2021/7/18, 39, 25, 33, 6, 1, 1
2021/7/19, 33, 22, 30, 5, 1, 1
2021/7/20, 23, 29, 27, 6, , 1
2021/7/21, 30, 27, 27, 6, 1, 1
2021/7/22, 40, 20, 24, 5, 1, 1
2021/7/23, 21, 14, 22, 3, 1, 1
2021/7/24, 9, 15, 21, 2, 1, 1
2021/7/25, 14, 18, 31, 5, 1, 1
2021/7/26, 14, 19, 26, 5, 1, 1
2021/7/27, 17, 17, 32, 5, 1, 1
2021/7/28, 16, 24, 31, 5, 1, 1
2021/7/29, 21, 20, 22, 5, 1, 1
2021/7/30, 15, 22, 28, 3, 1, 1
2021/7/31, 34, 14, 24, 4, 1, 1
2021/6/1, 51, 22, 32, 6, , 1
2021/6/2, 43, 17, 30, 5, , 1
2021/6/3, 28, 19, 32, 6, , 1
2021/6/4, 30, 18, 35, 4, , 1
2021/6/5, 31, 13, 17, 3, , 1
2021/6/6, 40, 23, 34, 6, , 1
2021/6/7, 43, 23, 33, 5, , 1
2021/6/8, 42, 20, 30, 6, , 1
2021/6/9, 40, 24, 30, 5, , 1
2021/6/10, 47, 23, 25, 4, , 1
2021/6/11, 38, 21, 30, 4, , 1
2021/6/12, 37, 25, 37, 5, , 1
2021/6/13, 41, 28, 29, 7, , 1
2021/6/14, 44, 29, 34, 6, , 1
2021/6/15, 46, 23, 25, 7, , 1
2021/6/16, 41, 22, 17, 8, 1, 1
2021/6/17, 33, 15, 18, 6, 1, 1
2021/6/18, 28, 16, 28, 4, , 1
2021/6/19, 27, 15, 24, 2, 1, 1
2021/6/20, 26, 17, 21, 5, , 1
2021/6/21, 28, 19, 30, 5, , 1
2021/6/22, 31, 24, 29, 5, , 1
2021/6/23, 45, 23, 28, 6, , 1
2021/6/24, 41, 23, 36, 6, , 1
2021/6/25, 39, 24, 38, 3, , 1
2021/6/26, 46, 19, 29, 1, , 1
2021/6/27, 37, 25, 27, 5, , 1
2021/6/28, 42, 25, 28, 5, , 1
2021/6/29, 45, 22, 30, 5, , 1
2021/6/30, 43, 24, 31, 7, , 1
2021/5/1, 27, 15, 39, 3, , 1
2021/5/2, 32, 20, 41, 6, , 1
2021/5/3, 31, 19, 35, 5, , 1
2021/5/4, 27, 20, 28, 6, , 1
2021/5/5, 25, 18, 21, 6, , 1
2021/5/6, 19, 24, 26, 9, , 1
2021/5/7, 28, 23, 33, 3, , 1
2021/5/8, 36, 19, 30, 3, , 1
2021/5/9, 31, 18, 27, 9, , 1
2021/5/10, 38, 19, 32, 8, , 1
2021/5/11, 32, 20, 32, 4, , 1
2021/5/12, 32, 17, 27, 9, , 1
2021/5/13, 32, 22, 29, 5, , 1
2021/5/14, 39, 14, 20, 2, , 
2021/5/15, 17, 16, 31, 1, , 1
2021/5/16, 24, 22, 31, 3, , 1
2021/5/17, 43, 19, 21, 7, , 1
2021/5/18, 28, 20, 27, 7, , 1
2021/5/19, 30, 19, 35, 6, , 1
2021/5/20, 32, 20, 35, 5, , 1
2021/5/21, 31, 19, 32, 3, , 1
2021/5/22, 29, 16, 27, 2, , 1
2021/5/23, 26, 24, 24, 6, , 1
2021/5/24, 39, 27, 32, 6, , 1
2021/5/25, 44, 29, 33, 7, , 1
2021/5/26, 44, 31, 35, 8, , 1
2021/5/27, 50, 28, 41, 7, , 1
2021/5/28, 53, 25, 31, 4, , 1
2021/5/29, 47, 22, 31, 2, , 1
2021/5/30, 42, 30, 34, 8, 1, 1
2021/5/31, 48, 28, 41, 5, 1, 1
2021/4/1, 104, 28, 18, 4, 2, 3
2021/4/2, 42, 46, 28, 5, 1, 3
2021/4/3, 61, 37, 32, 5, 2, 3
2021/4/4, 58, 28, 31, 8, 1, 3
2021/4/5, 40, 43, 33, 6, 1, 3
2021/4/6, 70, 30, 31, 10, 1, 3
2021/4/7, 38, 46, 37, 10, 1, 3
2021/4/8, 54, 42, 8, 12, , 2
2021/4/9, 61, 19, , 8, , 1
2021/4/10, 31, 18, 7, 2, , 1
2021/4/11, 21, 21, 3, 10, , 1
2021/4/12, 27, 19, 1, 10, , 1
2021/4/13, 29, 21, 27, 6, , 1
2021/4/14, 26, 31, 35, 7, , 1
2021/4/15, 50, 26, 34, 6, , 1
2021/4/16, 44, 20, 40, 5, , 1
2021/4/17, 36, 23, 41, 5, , 1
2021/4/18, 40, 26, 39, 9, , 1
2021/4/19, 35, 19, 25, 10, , 1
2021/4/20, 25, 19, 19, 8, , 1
2021/4/21, 26, 22, 28, 8, , 1
2021/4/22, 24, 24, 21, 10, , 1
2021/4/23, 28, 22, 32, 6, , 1
2021/4/24, 30, 18, 15, 6, , 1
2021/4/25, 31, 26, 22, 8, , 1
2021/4/26, 25, 22, 28, 6, , 1
2021/4/27, 27, 30, 34, 7, , 1
2021/4/28, 49, 18, 32, 7, , 1
2021/4/29, 29, 19, 35, 8, , 1
2021/4/30, 27, 17, 37, 3, , 1
2021/3/1, 64, 38, 18, 12, 1, 2
2021/3/2, 54, 42, 15, 10, 1, 3
