date, pm25, pm10, o3, no2, so2, co
2021/11/1, 17, , , , , 
2021/11/2, 22, 10, 27, 9, , 1
2021/11/3, 31, 12, 22, 11, , 1
2021/11/4, 33, 14, 26, 10, , 
2021/11/5, 34, 14, 29, 9, , 
2021/11/6, 40, 14, 19, 3, , 1
2021/11/7, 52, , , , , 
2021/10/1, 29, 3, 12, 1, , 
2021/10/2, 9, 6, 28, , 1, 
2021/10/3, 13, , , , , 
2021/10/13, 36, 19, 23, 16, , 1
2021/10/14, 40, 26, 26, 13, , 1
2021/10/15, 60, 23, 23, 11, , 
2021/10/16, 63, 8, 21, 4, , 
2021/10/17, 20, 9, 5, 5, , 
2021/10/18, 22, 18, 22, 4, , 
2021/10/19, 42, 19, 23, 4, , 
2021/10/20, 24, 20, 24, 7, , 1
2021/10/21, 33, 11, 18, 9, , 
2021/10/22, 21, 14, 22, 6, , 1
2021/10/23, 39, 16, 17, 6, , 8
2021/10/24, 53, 15, 19, 8, , 9
2021/10/25, 44, 21, 18, 11, , 1
2021/10/26, 57, 27, 22, 14, , 
2021/10/27, 74, 23, 31, 8, , 
2021/10/28, 62, 9, 30, 7, , 
2021/10/29, 28, , , , , 
2021/10/30, 18, , , , , 
2021/10/31, 11, , , , , 
2021/9/1, 63, 18, 22, 6, 1, 1
2021/9/2, 52, 17, 21, 7, 1, 1
2021/9/3, 44, 15, 27, 4, 1, 1
2021/9/4, 48, 15, 35, 4, 2, 1
2021/9/5, 54, 25, 20, 13, 2, 1
2021/9/6, 49, 6, 13, 2, 1, 1
2021/9/7, 18, 5, 9, 2, 1, 1
2021/9/8, 14, 9, 10, 4, 1, 1
2021/9/9, 24, 8, 14, 5, 1, 1
2021/9/10, 27, 10, 21, 4, 1, 1
2021/9/11, 26, 9, 15, 4, 1, 1
2021/9/12, 29, 15, 15, 8, 1, 1
2021/9/13, 36, 9, 13, 4, 1, 1
2021/9/14, 26, 7, 14, 6, , 
2021/9/15, 17, 14, 18, 5, , 1
2021/9/16, 33, 13, 13, 6, , 1
2021/9/17, 29, 14, 23, 3, , 1
2021/9/18, 28, 10, 26, 2, , 1
2021/9/19, 24, 10, 24, 4, , 1
2021/9/20, 20, 7, 21, 5, , 1
2021/9/21, 18, 13, 25, 9, , 1
2021/9/22, 24, 15, 23, 8, , 1
2021/9/23, 32, 13, 17, 10, , 1
2021/9/24, 41, 9, 29, 3, 1, 1
2021/9/25, 23, 6, 22, , , 1
2021/9/26, 16, 9, 20, 4, , 1
2021/9/27, 18, 14, 25, 6, , 
2021/9/28, 29, 14, 18, 7, , 
2021/9/29, 24, 13, 18, 7, , 
2021/9/30, 32, 14, 12, 11, , 
2021/8/1, 37, 7, 45, 5, 1, 1
2021/8/2, 23, 10, 43, 3, , 1
2021/8/3, 26, 5, 39, 2, , 1
2021/8/4, 12, 10, 13, 3, 1, 1
2021/8/5, 21, 14, 17, 3, 1, 1
2021/8/6, 25, 11, 16, 1, 1, 1
2021/8/7, 24, 11, 19, 1, 1, 1
2021/8/8, 23, 15, 18, 4, 1, 1
2021/8/9, 33, 14, 14, 5, 1, 1
2021/8/10, 28, 16, 19, 7, 1, 1
2021/8/11, 36, 20, 14, 8, 1, 1
2021/8/12, 42, 21, 17, 10, 1, 1
2021/8/13, 49, 22, 14, 6, 1, 1
2021/8/14, 51, 12, 18, 2, 1, 1
2021/8/15, 31, 10, 22, 2, , 1
2021/8/16, 32, 12, 24, 4, 1, 1
2021/8/17, 27, 16, 26, 5, 1, 1
2021/8/18, 39, 15, 25, 6, 1, 1
2021/8/19, 34, 15, 17, 7, 1, 1
2021/8/20, 28, 6, 9, 3, 1, 1
2021/8/21, 17, 11, 12, 5, 1, 1
2021/8/22, 32, 18, 28, 8, 1, 1
2021/8/23, 45, 20, 25, 7, 1, 1
2021/8/24, 47, 24, 21, 10, 1, 1
