Date;Cases 
01/03/2021;54
02/03/2021;62
03/03/2021;15
04/03/2021;11
05/03/2021;19
08/03/2021;29
09/03/2021;15
10/03/2021;14
11/03/2021;15
12/03/2021;6
15/03/2021;35
16/03/2021;19
17/03/2021;16
18/03/2021;34
22/03/2021;64
23/03/2021;14
24/03/2021;13
25/03/2021;11
26/03/2021;15
29/03/2021;43
30/03/2021;28
31/03/2021;27
01/04/2021;34
03/04/2021;48
05/04/2021;55
06/04/2021;36
07/04/2021;33
08/04/2021;46
09/04/2021;43
12/04/2021;73
13/04/2021;26
14/04/2021;46
15/04/2021;12
16/04/2021;16
19/04/2021;50
20/04/2021;11
21/04/2021;14
22/04/2021;18
23/04/2021;17
26/04/2021;26
27/04/2021;11
28/04/2021;10
29/04/2021;5
30/04/2021;2
03/05/2021;11
04/05/2021;2
05/05/2021;2
06/05/2021;1
07/05/2021;1
10/05/2021;1
11/05/2021;1
12/05/2021;0
13/05/2021;1
14/05/2021;3
17/05/2021;3
18/05/2021;0
19/05/2021;1
20/05/2021;9
21/05/2021;1
24/05/2021;5
25/05/2021;15
26/05/2021;7
27/05/2021;9
28/05/2021;3
31/05/2021;43
01/06/2021;7
02/06/2021;17
03/06/2021;13
04/06/2021;6
07/06/2021;28
08/06/2021;0
09/06/2021;3
10/06/2021;2
11/06/2021;9
14/06/2021;11
15/06/2021;2
16/06/2021;1
17/06/2021;1
18/06/2021;1
21/06/2021;0
22/06/2021;2
23/06/2021;1
24/06/2021;1
25/06/2021;4
28/06/2021;3
29/06/2021;0
30/06/2021;1
01/07/2021;2
02/07/2021;6
05/07/2021;3
06/07/2021;2
07/07/2021;1
08/07/2021;5
09/07/2021;10
12/07/2021;11
13/07/2021;6
14/07/2021;13
15/07/2021;16
16/07/2021;19
19/07/2021;34
20/07/2021;11
21/07/2021;27
22/07/2021;18
23/07/2021;22
26/07/2021;54
27/07/2021;12
28/07/2021;15
29/07/2021;30
30/07/2021;12
02/08/2021;41
03/08/2021;20
04/08/2021;25
05/08/2021;68
06/08/2021;17
09/08/2021;82
10/08/2021;24
11/08/2021;41
12/08/2021;60
13/08/2021;43
16/08/2021;61
17/08/2021;97
18/08/2021;45
19/08/2021;34
20/08/2021;28
23/08/2021;77
24/08/2021;52
25/08/2021;17
26/08/2021;47
27/08/2021;28
30/08/2021;35
31/08/2021;28
01/09/2021;19
02/09/2021;20
03/09/2021;11
06/09/2021;39
07/09/2021;11
08/09/2021;21
09/09/2021;15
10/09/2021;10
13/09/2021;29
14/09/2021;14
15/09/2021;17
16/09/2021;9
17/09/2021;4
20/09/2021;19
21/09/2021;8
22/09/2021;12
23/09/2021;6
24/09/2021;2
27/09/2021;19
28/09/2021;3
29/09/2021;4
30/09/2021;4
01/10/2021;3
04/10/2021;11
05/10/2021;3
06/10/2021;0
07/10/2021;1
08/10/2021;4
11/10/2021;2
12/10/2021;0
13/10/2021;7
14/10/2021;1
18/10/2021;0
19/10/2021;0
20/10/2021;0
21/10/2021;3
22/10/2021;5
25/10/2021;3
26/10/2021;1
27/10/2021;1
28/10/2021;0
29/10/2021;0
02/11/2021;0
03/11/2021;0
04/11/2021;0
05/11/2021;0
