date; pm10; no2; so2; co
2020-01-01;5;14; ; 
2020-01-02;13;16;2; 
2020-01-03;14;13;2; 
2020-01-04;13;5; ; 
2020-01-05;15;6; ; 
2020-01-08;19;14; ; 
2020-01-09;24;15; ; 
2020-01-10;17;15; ; 
2020-01-11;14;5; ; 
2020-01-13;28;22;6; 
2020-01-14;19;32;4; 
2020-01-15;20;29;2; 
2020-01-16;22;23;2; 
2020-01-17;25;21;2; 
2020-01-18;25;7; ; 
2020-01-19;23;1;1; 
2020-01-20;14;16;2; 
2020-01-21;11;9; ; 
2020-01-22;8;12; ; 
2020-01-23;8;5; ; 
2020-01-29;3;19;1; 
2020-01-30;3;22;3; 
2020-01-31;4;18;1; 
2019-10-01;28;16;1; 
2019-10-02;20;18;3; 
2019-10-03;19;14;1; 
2019-10-04;23;21;3; 
2019-10-05;21;15;2; 
2019-10-06;19;26;4; 
2019-10-07;27;13;2; 
2019-10-08;25;13;1; 
2019-10-09;21;14;1; 
2019-10-10;22;11;1; 
2019-10-11;23;8;1; 
2019-10-12;25;10;1; 
2019-10-13;29;16;1; 
2019-10-14;28;16;2; 
2019-10-15;14;25;6; 
2019-10-16;18;22;4; 
2019-10-17;22;16;3; 
2019-10-18;17;15;3; 
2019-10-19;12;13;1; 
2019-10-20;12;26;6; 
2019-10-21;14;26;3; 
2019-10-22;20;19;1; 
2019-10-23;14;18;1; 
2019-10-24;13;17;1; 
2019-10-25;18;16;5; 
2019-10-26;21;12;2; 
2019-10-27;18;16;1; 
2019-10-28;25;16;3; 
2019-10-29;27;16;2; 
2019-10-30;23;14;1; 
2019-10-31;25;12;1; 
2019-11-01;20;11; ; 
2019-11-02;29;12;1; 
2019-11-03;27;18;1; 
2019-11-04;20;14;3; 
2019-11-05;18;15;4; 
2019-11-06;19;22;6; 
2019-11-07;20;16;4; 
2019-11-08;18;14;2; 
2019-11-09;15;11;1; 
2019-11-10;11;15;1; 
2019-11-11;15;16;1; 
2019-11-12;14;14;1; 
2019-11-13;19; ; ; 
2019-11-15;13;10;1; 
2019-11-16;18;13;1; 
2019-11-17;14;13;1; 
2019-11-18;14;24;3; 
2019-11-19;26;21;2; 
2019-11-20;25;22;2; 
2019-11-21;21;17;1; 
2019-11-22;16;12;1; 
