Date;Cases
13/05/2020;0
14/05/2020;1
15/05/2020;0
16/05/2020;0
17/05/2020;1
18/05/2020;0
19/05/2020;0
20/05/2020;0
21/05/2020;1
22/05/2020;0
23/05/2020;0
24/05/2020;0
25/05/2020;0
26/05/2020;0
27/05/2020;0
28/05/2020;0
29/05/2020;0
30/05/2020;0
31/05/2020;0
01/06/2020;0
02/06/2020;0
03/06/2020;0
04/06/2020;0
05/06/2020;0
06/06/2020;0
07/06/2020;0
08/06/2020;1
09/06/2020;0
10/06/2020;0
11/06/2020;0
12/06/2020;0
13/06/2020;0
14/06/2020;0
15/06/2020;0
16/06/2020;0
17/06/2020;0
18/06/2020;0
19/06/2020;0
20/06/2020;0
21/06/2020;0
22/06/2020;0
23/06/2020;0
24/06/2020;0
25/06/2020;0
26/06/2020;0
27/06/2020;0
28/06/2020;0
29/06/2020;0
30/06/2020;0
01/07/2020;1
02/07/2020;0
03/07/2020;0
04/07/2020;0
05/07/2020;0
06/07/2020;0
07/07/2020;0
08/07/2020;0
09/07/2020;0
10/07/2020;0
11/07/2020;0
12/07/2020;0
13/07/2020;0
14/07/2020;0
15/07/2020;0
16/07/2020;0
17/07/2020;0
18/07/2020;0
19/07/2020;0
20/07/2020;0
21/07/2020;0
22/07/2020;0
23/07/2020;0
24/07/2020;0
25/07/2020;0
26/07/2020;0
27/07/2020;0
28/07/2020;0
29/07/2020;0
30/07/2020;0
31/07/2020;0
01/08/2020;0
02/08/2020;0
03/08/2020;0
04/08/2020;0
05/08/2020;0
06/08/2020;0
07/08/2020;0
08/08/2020;0
09/08/2020;0
10/08/2020;0
11/08/2020;1
12/08/2020;0
13/08/2020;0
14/08/2020;0
15/08/2020;2
16/08/2020;0
17/08/2020;0
18/08/2020;1
19/08/2020;0
20/08/2020;1
21/08/2020;0
22/08/2020;0
23/08/2020;0
24/08/2020;1
25/08/2020;1
26/08/2020;0
27/08/2020;1
28/08/2020;0
29/08/2020;0
30/08/2020;0
31/08/2020;0
01/09/2020;1
02/09/2020;0
03/09/2020;2
04/09/2020;1
05/09/2020;0
06/09/2020;3
07/09/2020;1
08/09/2020;2
09/09/2020;2
10/09/2020;6
11/09/2020;4
12/09/2020;2
13/09/2020;3
14/09/2020;1
15/09/2020;7
16/09/2020;0
17/09/2020;2
18/09/2020;0
19/09/2020;3
20/09/2020;0
21/09/2020;3
22/09/2020;3
23/09/2020;3
24/09/2020;3
25/09/2020;2
26/09/2020;3
27/09/2020;2
28/09/2020;1
29/09/2020;4
30/09/2020;3
01/10/2020;1
02/10/2020;2
03/10/2020;1
04/10/2020;4
05/10/2020;1
06/10/2020;1
07/10/2020;5
08/10/2020;3
09/10/2020;2
10/10/2020;5
11/10/2020;6
12/10/2020;3
13/10/2020;3
14/10/2020;2
15/10/2020;2
16/10/2020;5
17/10/2020;3
18/10/2020;5
19/10/2020;6
20/10/2020;2
21/10/2020;4
22/10/2020;6
23/10/2020;3
24/10/2020;6
25/10/2020;10
26/10/2020;9
27/10/2020;9
28/10/2020;6
29/10/2020;9
30/10/2020;8
31/10/2020;11
01/11/2020;14
02/11/2020;13
03/11/2020;6
04/11/2020;14
05/11/2020;14
06/11/2020;10
07/11/2020;13
08/11/2020;15
09/11/2020;12
10/11/2020;7
11/11/2020;13
12/11/2020;13
13/11/2020;8
14/11/2020;9
15/11/2020;4
16/11/2020;11
17/11/2020;11
18/11/2020;14
19/11/2020;11
20/11/2020;8
21/11/2020;6
22/11/2020;9
23/11/2020;9
24/11/2020;8
25/11/2020;7
26/11/2020;6
27/11/2020;4
28/11/2020;2
29/11/2020;4
30/11/2020;3
01/12/2020;7
02/12/2020;3
03/12/2020;3
04/12/2020;4
05/12/2020;6
06/12/2020;4
07/12/2020;6
08/12/2020;5
09/12/2020;4
10/12/2020;5
11/12/2020;6
12/12/2020;4
13/12/2020;0
14/12/2020;5
15/12/2020;2
16/12/2020;5
17/12/2020;0
18/12/2020;8
19/12/2020;2
20/12/2020;4
21/12/2020;4
22/12/2020;2
23/12/2020;2
24/12/2020;2
25/12/2020;6
26/12/2020;5
