date; pm10; o3; no2; so2;
2021-11-01;22;16;5;5; 
2021-11-02;15;27;1;7; 
2021-11-03;12;23;1;6; 
2021-11-04;11;21;9;5; 
2021-11-05;11;25;8;6; 
2021-11-06;9;28;8;6; 
2021-11-07;16;21;11;5; 
2021-11-08;16;27;9;4; 
2021-11-09;27;22;10;6; 
2021-11-10;26;24;10;4; 
2021-11-11;25;21;9;4; 
2021-11-12;26;19;7;7; 
2021-11-13;27;27;6;3; 
2021-11-14;28;23;6;5; 
2021-11-15;19;23;6;6; 
2021-11-16;28;22;8;3; 
2021-11-17;33;7;11;4; 
2021-11-18;40;21;8;6; 
2021-11-19;25;23;5;6; 
2021-11-20;20;17;7;5; 
2021-11-21;19;2;7;1; 
2021-11-22;16; ; ; ; 
2021-10-01;32;36;5;5; 
2021-10-02;38;15;4;3; 
2021-10-03;37;27;6;4; 
2021-10-04;13;32;8;2; 
2021-10-05;17;33;8;5; 
2021-10-06;18;32;8;5; 
2021-10-07;23;37;7;2; 
2021-10-08;21;38;5;5; 
2021-10-09;22;40;4;6; 
2021-10-10;19;36;6;4; 
2021-10-11;20;40;6;7; 
2021-10-12;27;38;8;3; 
2021-10-13;22;36;8;5; 
2021-10-14;27;31;9;4; 
2021-10-15;29;43;6;5; 
2021-10-16;25;39;4;2; 
2021-10-17;49;37;6;4; 
2021-10-18;17;34;7;4; 
2021-10-19;25;34;8;4; 
2021-10-20;32;32;9;5; 
2021-10-21;28;24;7;5; 
2021-10-22;33;31;6;4; 
2021-10-23;11;31;6; ; 
2021-10-24;23;27;7;6; 
2021-10-25;24;17;9;4; 
2021-10-26;27;26;7;4; 
2021-10-27;33;27;8;1; 
2021-10-28;21;19;9;8; 
2021-10-29;24;7;8;3; 
2021-10-30;33;14;5;6; 
2021-10-31;26;15;5;4; 
2021-09-01;32;38;5;1; 
2021-09-02;33;39;6;2; 
2021-09-03;40;36;3;2; 
2021-09-04;40;37;3;1; 
2021-09-05;35;39;4;2; 
2021-09-06;37;37;5;3; 
2021-09-07;28;45;8;1; 
2021-09-08;32;34;9;2; 
2021-09-09;29;37;9; ; 
2021-09-10;24;41;7;3; 
2021-09-11;29;41;4;1; 
2021-09-12;30;17;10;2; 
2021-09-13;36;24;7;2; 
2021-09-14;30;29;8;1; 
2021-09-15;22;32;8;3; 
2021-09-16;21;35;8;4; 
2021-09-17;32;43;7;4; 
2021-09-18;28;34;4;4; 
2021-09-19;27;36;6;4; 
2021-09-20;21;34;5;3; 
2021-09-21;19;37;6;5; 
2021-09-22;17;39;7;6; 
2021-09-23;19;35;7;3; 
2021-09-24;31;37;5;4; 
2021-09-25;37;42;6;4; 
2021-09-26;34;42;9;3; 
2021-09-27;33;39;7;6; 
2021-09-28;39;42;6;2; 
2021-09-29;46;38;6;5; 
2021-09-30;42;34;7;4; 
2021-08-01;20;39;2;2; 
2021-08-02;27;42;4;2; 
2021-08-03;27;46;6;2; 
2021-08-04;31;46;3;3; 
2021-08-05;46;54;4;2; 
2021-08-06;32;54;3;2; 
2021-08-07;42;38;1;1; 
2021-08-08;43;33; ;1; 
2021-08-09;41;34;6;3; 
2021-08-10;29;37;6;5; 
2021-08-11;34;47;9;5; 
2021-08-12;61;45;7;3; 
2021-08-13;66;46;5;3; 
2021-08-14;58;53;4;3; 
2021-08-15;54;44;5;6; 
2021-08-16;59;35;1;3; 
2021-08-17;49;38;2;2; 
2021-08-18;45;35;3; ; 
2021-08-19;43;34;3;1; 
2021-08-20;44;37;2;4; 
2021-08-21;37;44;2;3; 
2021-08-22;33;39;4;4; 
2021-08-23;32;34;3;3; 
2021-08-24;41;41;4;2; 
2021-08-25;35;42;4;5; 
2021-08-26;31;43;7;1; 
2021-08-27;35;53;5;2; 
2021-08-28;38;40;3;1; 
2021-08-29;44;40;4;1; 
